;MPI;phylum;class;order;species;old_names;Strain
Morel_U14_1;MPI-CAGE-AA-0104;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierella elongata;104;Morel_U14_1
Denna1;MPI-CAGE-CH-0243;Ascomycota;Dothideomycetes;Pleosporales;Dendryphion nanum;243;Denna1
Zalva1;MPI-CAGE-AT-0135;Ascomycota;Leotiomycetes;Helotiales;Zalerion varium;135;Zalva1
Mictri1;MPI-CAGE-CH-0230;Ascomycota;Sordariomycetes;Xylariales;Microdochium trichocladiopsis;230;Mictri1
Chame1;MPI-CAGE-AT-0009;Ascomycota;Sordariomycetes;Sordariales;Chaetomium megalocarpum;9;Chame1
Chafu1;MPI-SDFR-AT-0129;Ascomycota;Sordariomycetes;Sordariales;Chaetomium funicola;129;Chafu1
Verdah1;MPI-CAGE-AT-0001;Ascomycota;Sordariomycetes;Glomerellales;Verticillium dahliae;1;Verdah1
Plecto143;MPI-CAGE-AT-0143;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerella cucumerina;143;Plecto143
Plecuc1;MPI-CAGE-AT-0016;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerella cucumerina;16;Plecuc1
Stael1;MPI-CAGE-CH-0235;Ascomycota;Sordariomycetes;Hypocreales;Stachybotrys elegans;235;Stael1
Cylol1;MPI-CAGE-CH-0241;Ascomycota;Sordariomycetes;Hypocreales;Cylindrocarpon olidum;241;Cylol1
Dacma1;MPI-CAGE-AT-0147;Ascomycota;Sordariomycetes;Hypocreales;Dactylonectria macrodidyma;147;Dacma1
Daces1;MPI-CAGE-AT-0021;Ascomycota;Sordariomycetes;Hypocreales;Dactylonectria estremocensis;21;Daces1
Neora1;MPI-CAGE-AT-0134;Ascomycota;Sordariomycetes;Hypocreales;Neonectria radicicola;134;Neora1
Ilyeu1;MPI-CAGE-AT-0026;Ascomycota;Sordariomycetes;Hypocreales;Ilyonectria europaea;26;Ilyeu1
Fusven1;MPI-CAGE-CH-0201;Ascomycota;Sordariomycetes;Hypocreales;Fusarium venenatum;201;Fusven1
Fusarium233;MPI-CAGE-CH-0233;Ascomycota;Sordariomycetes;Hypocreales;Fusarium cf equiseti MY_2011 / Gibberella intricans;233;Fusarium233
Fuseq1;MPI-CAGE-AA-0113;Ascomycota;Sordariomycetes;Hypocreales;Fusarium equiseti;113;Fuseq1
Fusarium226;MPI-CAGE-CH-0226;Ascomycota;Sordariomycetes;Hypocreales;Fusarium oxysporum;226;Fusarium226
Fusarium13;MPI-CAGE-AT-0013;Ascomycota;Sordariomycetes;Hypocreales;Fusarium oxysporum;13;Fusarium13
Fusarium216;MPI-CAGE-CH-0216;Ascomycota;Sordariomycetes;Hypocreales;Fusarium redolens;216;Fusarium216
Fusre1;MPI-CAGE-AT-0023;Ascomycota;Sordariomycetes;Hypocreales;Fusarium redolens;23;Fusre1
