,Strain,NumReads_A.sf,NumReads_B.sf,NumReads_Bpre.sf,NumReads_C.sf,NumReads_D.sf,NumReads_E.sf
Root100,Root100,5506.04,4355.928,7740.624,3117.854,1713,4896.129
Root101,Root101,8999.86,17091,102537.434,10976.005,21513.002,37596.844
Root102,Root102,48468.608,82528.335,55768.558,56445.802,11552.137,31478.771
Root105,Root105,0,0,0,1,0,0
Root107,Root107,5,0,0,0,0,0
Root11,Root11,434,198,7828,131,232,465
Root1203,Root1203,26,17,0,10339,17095,63
Root1212,Root1212,2,40,895.98,1,569.074,1843.673
Root122,Root122,310,970,9486,1707,831,3473
Root1220,Root1220,47,39,0,1,0,1
Root1238,Root1238,112.503,10,1,192.984,2,0
Root123D2,Root123D2,220554.001,203301,252065,195518.999,56653.943,139888
Root1240,Root1240,0,0,0,0,1,2
Root1252,Root1252,480.181,45.999,1211.942,97.952,91,20.848
Root1257,Root1257,0,0,0,2,0,0
Root1277,Root1277,134035,129838,33464,125689,16164,26794
Root1280,Root1280,1865125.999,2412413.998,139787,1323778,43223,71382
Root1293,Root1293,0,0,22,1,0,1
Root1294,Root1294,0,0,1,0,0,0
Root1295,Root1295,0,0,0,0,0,0
Root1298,Root1298,643.746,1069.97,5625.014,702.448,954.877,565.113
Root1304,Root1304,0,0,0,0,0,0
Root1310,Root1310,0,0,0,0,0,0
Root1312,Root1312,0,629.799,1415.123,868.919,146.379,455
Root133,Root133,0,0,16,56,0,0
Root136,Root136,0,0,0,0,0,0
Root1433D1,Root1433D1,10150.958,6248.855,16840.193,8431.057,15639.258,33469.031
Root1455,Root1455,1,0,0,0,0,0
Root1464,Root1464,1,1.02,2,1,1,0
Root1471,Root1471,32.837,11.431,388.251,7.083,8,2624.473
Root1472,Root1472,60,1,0,0,0,0
Root149,Root149,348691.987,517829.006,642620.509,393150,233920.94,502769.893
Root151,Root151,58.999,0,1,3,0,0
Root154,Root154,666037,567053,210265,596273,55791,105227
Root157,Root157,1,0,0,0,0,2
Root170,Root170,0,0,0,18,147,0
Root172,Root172,70381.515,93392.307,43798.091,83095.456,10206.863,30313.518
Root179,Root179,1286469.211,1926047.638,232915,2743920.835,62514.471,268404.806
Root180,Root180,255.017,1492.87,2747.9,661,545.659,2198.336
Root181,Root181,24914,35194,72427.997,32852,6065,12988
Root186,Root186,0,0,0,0,0,0
Root189,Root189,0,0,0,0,0,0
Root190,Root190,44,0,0,38,0,0
Root198D2,Root198D2,70.14,1,280.427,126.799,9.897,3.132
Root217,Root217,48,67,37.815,4,110.975,0
Root22,Root22,56574,59237,156067.575,64970,18475,80778
Root236,Root236,0,1,0,0,0,0
Root240,Root240,0,0,0,0,0,0
Root241,Root241,0,0,0,1,0,0
Root265,Root265,1.001,0,37,0,209,2
Root278,Root278,21.343,47.823,112.878,61.286,14.218,9.017
Root318D1,Root318D1,0,0,0,34,1,0
Root322,Root322,339286.783,1006997.502,2280423.116,488524.659,348924.649,1005719.962
Root332,Root332,1,2.155,1,0,1,6.994
Root381,Root381,3766.033,10,1840.573,3,542,2831
Root423,Root423,1110.657,1841.14,3781.895,2108.454,2048.111,6440.334
Root431,Root431,0,0,0,0,0,0
Root444D2,Root444D2,32,0,318.421,35,1.998,3
Root456,Root456,0,0,0,24,0,0
Root480,Root480,3957541.645,10798.231,2352.469,12866.286,12800.924,18177.225
Root482,Root482,0,0,1,0,0,1
Root491,Root491,45243,89541.002,370180.425,62294.048,120311.066,281474.909
Root495,Root495,0,0,0,0,1,0
Root53,Root53,13027.101,11161.055,130025.216,14515.118,29712.141,45244.97
Root552,Root552,1,0,0,0,190.983,1
Root558,Root558,533.26,2023.828,9572.399,1503.532,3831.474,10572.145
Root559,Root559,1719534.945,404021.233,3068604.803,4149302.293,829763.695,1605089.183
Root564,Root564,62,78,51.566,90.018,19,14
Root569,Root569,2731052.595,2505749.788,314012.546,3367327.26,90768.413,206661.562
Root61,Root61,1754785.251,2990718.595,2014494.296,2291128.984,405259.555,967859.7
Root614,Root614,0,0,0,0,0,0
Root630,Root630,236.12,1071.192,570.261,1188.792,382.364,1632.111
Root635,Root635,0,0,0,0,0,0
Root667,Root667,39892.443,12982.932,48078.634,83248.182,29069.833,65231.049
Root670,Root670,127129.966,146179,215809.427,146852,25212.074,94983
Root68,Root68,1186479.405,1326231.212,67179.454,733383.74,18445.586,46740.438
Root685,Root685,304252,1794,239053,1030902,44394,85302
Root70,Root70,431421,281363,343462.185,286211,31139.025,146078.999
Root710,Root710,0,0,1,0,0,0
Root74,Root74,1111.475,1627.085,3086.761,3156.506,223.227,1771.838
Root916,Root916,3483.306,2275.842,2062.066,9111.809,896.11,2499.921
Root920,Root920,0,0,0,0,0,0
Root935,Root935,117,75,2820478,157,19534,9434
Root954,Root954,120.978,402.06,1812.985,65.738,138.902,760.712
